Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-12-24,0.04814,0.049246,0.0477,0.048795,252967.984,2017-12-24 23:59:59.999000064,12244.76984705,282446.0,125938.78100000,6100.47066258,0
2017-12-25,0.048765,0.054999,0.0487,0.052153,272863.301,2017-12-25 23:59:59.999000064,14166.87369821,295182.0,129153.84800000,6711.69514013,0
2017-12-26,0.052059,0.0538,0.046282,0.047805,271857.642,2017-12-26 23:59:59.999000064,13348.705531,318788.0,129506.57200000,6360.13356883,0
2017-12-27,0.047806,0.049,0.0463,0.047804,231755.636,2017-12-27 23:59:59.999000064,11087.27692184,296215.0,112823.60300000,5397.34797570,0
2017-12-28,0.047804,0.0517,0.047584,0.049853,257969.986,2017-12-28 23:59:59.999000064,12740.83676334,323540.0,122252.77300000,6039.37870263,0
2017-12-29,0.049883,0.052,0.0495,0.05102,299450.249,2017-12-29 23:59:59.999000064,15195.01313765,390379.0,141626.81000000,7189.30080537,0
2017-12-30,0.051021,0.055301,0.05,0.055127,382154.486,2017-12-30 23:59:59.999000064,20313.15967264,481478.0,182528.16200000,9708.82885956,0
2017-12-31,0.05506,0.055449,0.052309,0.053586,318642.663,2017-12-31 23:59:59.999000064,17217.2440325,435082.0,152151.71400000,8223.09351585,0
2018-01-01,0.053586,0.0572,0.053401,0.056367,312440.757,2018-01-01 23:59:59.999000064,17404.15888156,406017.0,150566.08800000,8389.50328492,0
2018-01-02,0.056368,0.066265,0.05104,0.058261,492006.759,2018-01-02 23:59:59.999000064,30046.04448991,656785.0,234144.31200000,14291.85749229,0
2018-01-03,0.0583,0.06421,0.056449,0.0626,469486.617,2018-01-03 23:59:59.999000064,27812.69661769,654095.0,217935.11100000,12922.27985030,0
2018-01-04,0.0626,0.07,0.060125,0.062236,595991.613,2018-01-04 23:59:59.999000064,38477.31889398,872477.0,283608.90400000,18313.39141126,0
2018-01-05,0.062449,0.069758,0.054,0.056584,710527.221,2018-01-05 23:59:59.999000064,44244.9907145,945045.0,345391.45200000,21479.25507307,0
2018-01-06,0.056579,0.063,0.055549,0.058817,511471.697,2018-01-06 23:59:59.999000064,30446.50285902,614991.0,244856.69000000,14581.15614952,0
2018-01-07,0.058817,0.069811,0.058689,0.069313,471299.849,2018-01-07 23:59:59.999000064,30710.6332811,615048.0,223526.90900000,14584.05743543,0
